"""","被保護世帯(停止中を含む)_平成23年度(2011)(世帯)","被保護世帯(停止中を含む)_平成24年度(2012)(世帯)","被保護世帯(停止中を含む)_平成25年度(2013)(世帯)","被保護世帯(停止中を含む)_平成26年度(2014)(世帯)","被保護人員(停止中を含む)_平成23年度(2011)(人)","被保護人員(停止中を含む)_平成24年度(2012)(人)","被保護人員(停止中を含む)_平成25年度(2013)(人)","被保護人員(停止中を含む)_平成26年度(2014)(人)"
"県計 (注)","11212.0","11637.0","11940.0","12147.0","14489.0","14799.0","15016.0","15137.0"
"","","","","","","","",""
"和歌山市","6462.0","6819.0","7084.0","7276.0","8293.0","8619.0","8852.0","9005.0"
"海 南 市","455.0","449.0","428.0","405.0","563.0","547.0","519.0","481.0"
"橋 本 市","376.0","360.0","344.0","335.0","479.0","452.0","421.0","403.0"
"有 田 市","178.0","187.0","195.0","210.0","200.0","211.0","222.0","245.0"
"御 坊 市","472.0","483.0","485.0","486.0","691.0","700.0","692.0","681.0"
"田 辺 市","747.0","749.0","769.0","775.0","981.0","970.0","984.0","980.0"
"新 宮 市","468.0","474.0","466.0","467.0","613.0","600.0","587.0","584.0"
"紀の川市","246.0","241.0","238.0","240.0","321.0","309.0","307.0","305.0"
"岩 出 市","169.0","193.0","222.0","239.0","222.0","256.0","301.0","319.0"
"","","","","","","","",""
"紀美野町","56.0","58.0","56.0","55.0","72.0","70.0","67.0","64.0"
"","","","","","","","",""
"かつらぎ町","74.0","77.0","88.0","91.0","96.0","94.0","103.0","107.0"
"九度山町","21.0","20.0","19.0","19.0","30.0","32.0","25.0","23.0"
"高 野 町","25.0","26.0","23.0","23.0","31.0","32.0","30.0","31.0"
"","","","","","","","",""
"湯 浅 町","175.0","186.0","191.0","190.0","225.0","235.0","238.0","237.0"
"広 川 町","70.0","71.0","70.0","71.0","86.0","85.0","87.0","92.0"
"有田川町","75.0","83.0","89.0","93.0","80.0","87.0","93.0","101.0"
"","","","","","","","",""
"美 浜 町","32.0","42.0","43.0","42.0","46.0","57.0","60.0","64.0"
"日 高 町","24.0","23.0","21.0","22.0","34.0","29.0","26.0","27.0"
"由 良 町","49.0","50.0","57.0","57.0","59.0","60.0","66.0","64.0"
"印 南 町","44.0","48.0","50.0","48.0","60.0","61.0","62.0","58.0"
"みなべ町","72.0","77.0","76.0","73.0","102.0","107.0","107.0","107.0"
"日高川町","33.0","37.0","39.0","39.0","42.0","48.0","49.0","50.0"
"","","","","","","","",""
"白 浜 町","218.0","226.0","229.0","248.0","274.0","285.0","284.0","309.0"
"上富田町","82.0","79.0","81.0","84.0","99.0","91.0","95.0","97.0"
"すさみ町","55.0","60.0","63.0","56.0","69.0","74.0","77.0","65.0"
"","","","","","","","",""
"那智勝浦町","162.0","158.0","165.0","156.0","201.0","192.0","198.0","183.0"
"太 地 町","23.0","20.0","21.0","21.0","32.0","26.0","26.0","25.0"
"古座川町","29.0","26.0","24.0","27.0","34.0","31.0","27.0","34.0"
"北 山 村","4.0","3.0","3.0","3.0","6.0","5.0","4.0","4.0"
"串 本 町","319.0","312.0","303.0","298.0","449.0","433.0","409.0","395.0"
